name,country,overseas,role,batting_style,bowling_style,wicketkeeper,captain,active,aggressive_batter,opener,finisher,death_bowler,spinner,fast_bowler,orange_cap,purple_cap,teams,title_winner,retired
Y Nagar,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
SS Shaikh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,KKR,No,Yes
R Ashwin,India,No,Bowler,Right-hand,Off Spin,No,No,Yes,No,No,No,No,Yes,No,No,No,"CSK, DC, PBKS, RPS, RR",No,No
Mohammad Ashraful,Bangladesh,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,MI,No,Yes
CA Pujara,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"KKR, PBKS, RCB",No,Yes
OA Shah,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"KKR, KTK, RR",No,Yes
Anirudh Singh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC_Old,No,Yes
Jaskaran Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
AP Tare,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"DC, MI, SRH",No,Yes
AT Rayudu,India,No,Batter,Right-hand,None,No,Yes,No,No,No,No,No,No,No,No,No,"CSK, MI",No,No
R Sathish,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, MI, PBKS",No,Yes
R McLaren,South Africa,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, MI, PBKS",No,Yes
AA Jhunjhunwala,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, PW, RR",No,Yes
P Dogra,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"KKR, PBKS, RR",No,Yes
A Uniyal,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
MS Bisla,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"KKR, PBKS, RCB",No,Yes
YA Abdulla,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
EJG Morgan,England,Yes,Batter,Left-hand,None,No,No,No,No,No,No,No,No,No,No,No,"KKR, PBKS, RCB, SRH",No,Yes
JM Kemp,South Africa,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
S Tyagi,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
RS Gavaskar,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
SE Bond,New Zealand,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
KA Pollard,West Indies,Yes,All-Rounder,Right-hand,Medium Pace,No,Yes,No,Yes,No,No,No,No,Yes,No,No,MI,No,No
S Ladda,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, GL, KKR",No,Yes
DP Nannes,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"CSK, DC, RCB",No,Yes
MJ Lumb,England,Yes,Batter,Left-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, RR",No,Yes
DR Martyn,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
S Narwal,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, RR",No,Yes
AB Barath,West Indies,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
Bipul Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PBKS, SRH",No,Yes
FY Fazal,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
AC Voges,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
MD Mishra,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, PW",No,Yes
UT Yadav,India,No,Bowler,Right-hand,Fast,No,No,Yes,No,No,No,No,No,Yes,No,No,"DC, GT, KKR, RCB",No,No
J Theron,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, PBKS, RR",No,Yes
SJ Srivastava,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
KM Jadhav,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"CSK, DC, KTK, RCB, SRH",No,No
R Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, DC_Old, PW",No,Yes
Mandeep Singh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC, KKR, PBKS, RCB",No,No
SW Tait,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,RR,No,Yes
KB Arun Karthik,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"CSK, RCB",No,Yes
KAJ Roach,West Indies,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
PD Collingwood,England,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
CK Langeveldt,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, RCB",No,Yes
VS Malik,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PBKS, RR",No,Yes
A Mithun,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
AP Dole,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
AN Ahmed,England,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"MI, RCB",No,Yes
RS Sodhi,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
DE Bollinger,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,CSK,No,Yes
S Sriram,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC, RCB",No,Yes
B Sumanth,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC_Old,No,Yes
C Madan,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
AG Paunikar,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RR,No,Yes
MR Marsh,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"DC, DC_Old, LSG, PW, RPS, SRH",No,No
AJ Finch,Australia,Yes,Batter,Right-hand,None,No,Yes,No,No,Yes,No,No,No,Yes,No,No,"DC, GL, KKR, MI, PBKS, PW, RCB, RR, SRH",No,No
STR Binny,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"MI, RCB, RR",No,Yes
Harmeet Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, PBKS, RR",No,Yes
IR Jaggi,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"DC_Old, KKR",No,Yes
DT Christian,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, DC_Old, RCB, RPS",No,Yes
RV Gomez,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KTK, PW",No,Yes
MA Agarwal,India,No,Batter,Right-hand,None,No,No,Yes,No,Yes,No,No,No,No,No,No,"DC, PBKS, RCB, RPS, SRH",No,No
AUK Pathan,India,No,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
UBT Chand,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"DC, MI, RR",No,Yes
DJ Jacobs,South Africa,Yes,Wicketkeeper,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
Sunny Singh,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
NJ Rimmington,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
AL Menaria,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
WD Parnell,South Africa,Yes,Bowler,Left-hand,Fast,No,No,No,No,No,No,Yes,No,Yes,No,No,"DC, PW, RCB",No,No
JJ van der Wath,South Africa,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
R Ninan,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
S Aravind,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
MS Wade,Australia,Yes,Wicketkeeper,Right-hand,None,Yes,No,Yes,No,No,No,No,No,No,No,No,"DC, GT",No,No
TD Paine,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,PW,No,Yes
SB Wagh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PW, RR",No,Yes
AC Thomas,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PW,No,Yes
JEC Franklin,New Zealand,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
Shakib Al Hasan,Bangladesh,Yes,Bowler,Left-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, SRH",No,Yes
DH Yagnik,India,No,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
S Randiv,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
BJ Haddin,Australia,Yes,Wicketkeeper,Right-hand,None,Yes,No,No,No,Yes,No,No,No,No,No,No,KKR,No,Yes
NLTC Perera,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,Yes,Yes,No,Yes,No,No,"CSK, KTK, MI, PBKS, RPS, SRH",No,Yes
NL McCullum,New Zealand,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PW,No,Yes
JE Taylor,New Zealand,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PW,No,Yes
J Syed Mohammad,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
RN ten Doeschate,Netherland,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,Yes,No,No,Yes,No,No,KKR,No,Yes
TR Birt,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC,No,Yes
AG Murtaza,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"MI, PW",No,Yes
Harpreet Singh,India,No,Batter,Right-hand,None,No,No,Yes,No,No,No,No,No,No,No,No,"PBKS, PW",No,No
M Klinger,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,KTK,No,Yes
AC Blizzard,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
I Malhotra,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
L Ablish,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
CA Ingram,South Africa,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC,No,Yes
S Nadeem,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, SRH",No,Yes
P Parameswaran,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KTK, RCB",No,Yes
CJ Ferguson,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PW,No,Yes
VR Aaron,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, GT, PBKS, RCB, RR",No,No
AA Chavan,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
ND Doshi,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"RCB, RR",No,Yes
B Kumar,India,No,Bowler,Left-hand,Medium Pace,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,"PW, RCB, SRH",No,No
Y Gnaneswara Rao,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,KTK,No,Yes
S Rana,India,No,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"PW, RCB",No,Yes
BA Bhatt,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
F du Plessis,South Africa,Yes,Batter,Left-hand,None,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,"CSK, DC, RCB, RPS",No,No
RE Levi,South Africa,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
GJ Maxwell,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,"DC, MI, PBKS, RCB",No,No
SPD Smith,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC, PW, RPS, RR",No,Yes
MN Samuels,West Indies,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, PW",No,Yes
SA Yadav,India,No,Batter,Right-hand,None,No,No,Yes,Yes,No,No,No,No,Yes,No,No,"KKR, MI",No,No
KK Cooper,West Indies,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,RR,No,Yes
JP Faulkner,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,Yes,Yes,No,Yes,No,No,"GL, PBKS, PW, RR",No,Yes
HV Patel,India,No,Bowler,Right-hand,Fast,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,"DC, PBKS, RCB, SRH",No,No
DAJ Bracewell,New Zealand,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
DJ Harris,Australia,Yes,All-Rounder,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,No,No,DC_Old,No,Yes
Ankit Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, RPS, RR, SRH",No,Yes
SP Narine,West Indies,Yes,All-Rounder,Right-hand,Off Spin,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,KKR,No,No
GB Hogg,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, RR",No,Yes
RR Bhatkal,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
CJ McKay,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
N Saini,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PBKS,No,Yes
DA Miller,South Africa,Yes,Batter,Left-hand,None,No,No,Yes,No,No,No,No,No,No,No,No,"GT, LSG, PBKS, RR",No,No
Azhar Mahmood,Pakistan,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"KKR, PBKS",No,Yes
P Negi,India,No,Wicketkeeper,Right-hand,Medium Pace,Yes,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC, RCB",No,Yes
RJ Peterson,South Africa,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
KMDN Kulasekara,Sri Lanka,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,CSK,No,Yes
A Ashish Reddy,India,No,Bowler,Right-hand,Medium Pace,No,No,No,Yes,No,Yes,No,No,Yes,No,No,"DC_Old, SRH",No,Yes
V Pratap Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
BB Samantray,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"DC_Old, SRH",No,Yes
MJ Clarke,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,No,No,PW,No,Yes
Gurkeerat Singh,India,No,Batter,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PBKS, RCB",No,Yes
AP Majumdar,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PW,No,Yes
PA Reddy,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, SRH",No,Yes
K Upadhyay,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PW,No,Yes
P Awana,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
AD Russell,West Indies,Yes,Bowler,Right-hand,Medium Pace,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,"DC, KKR",No,No
A Chandila,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
CA Lynn,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, KKR, MI",No,Yes
Sunny Gupta,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
MC Juneja,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC,No,Yes
KK Nair,India,No,Batter,Right-hand,None,No,No,Yes,No,No,No,No,No,No,No,No,"DC, PBKS, RCB, RR",No,No
GH Vihari,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, SRH",No,Yes
MDKJ Perera,Sri Lanka,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RR,No,Yes
R Shukla,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, RR",No,Yes
B Laughlin,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,Yes,"CSK, RR",No,Yes
AS Rajpoot,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, KKR, PBKS, RR",No,Yes
M Vohra,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"LSG, PBKS, RCB, RR",No,No
JD Unadkat,India,No,Bowler,Left-hand,Fast,No,No,Yes,No,No,No,No,No,Yes,No,No,"DC, KKR, LSG, MI, RCB, RPS, RR, SRH",No,No
Mohammed Shami,India,No,Bowler,Right-hand,Fast,No,No,Yes,No,No,No,No,No,Yes,No,Yes,"DC, GT, KKR, PBKS, SRH",No,No
BMAJ Mendis,Sri Lanka,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
R Rampaul,South Africa,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
CH Morris,South Africa,Yes,Bowler,Right-hand,Fast,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,"CSK, DC, RCB, RR",No,Yes
SV Samson,India,No,Wicketkeeper,Left-hand,None,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,"DC, RR",No,No
SMSM Senanayake,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
BJ Rohrer,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,DC,No,Yes
KL Rahul,India,No,Batter,Left-hand,None,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,"DC, LSG, PBKS, RCB, SRH",No,No
Q de Kock,South Africa,Yes,Wicketkeeper,Left-hand,None,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"DC, KKR, LSG, MI, RCB, SRH",No,No
R Dhawan,India,No,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"MI, PBKS",No,No
MG Johnson,Australia,Yes,Bowler,Right-hand,Fast,No,No,No,No,No,No,No,No,Yes,No,Yes,"KKR, MI, PBKS",No,Yes
LJ Wright,England,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PW,No,Yes
IC Pandey,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, PW",No,Yes
X Thalaivan Sargunam,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,SRH,No,Yes
DJG Sammy,West Indies,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"RCB, SRH",No,Yes
KW Richardson,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PW, RCB, RR",No,Yes
MM Sharma,India,No,Bowler,Right-hand,Fast,No,No,Yes,No,No,No,Yes,No,Yes,No,No,"CSK, DC, GT, PBKS",No,No
CM Gautam,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"DC, MI",No,Yes
UA Birla,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,PW,No,Yes
Parvez Rasool,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"PW, RCB, SRH",No,Yes
Sandeep Sharma,India,No,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"PBKS, RR, SRH",No,No
S Kaul,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"DC, RCB, SRH",No,No
Sachin Baby,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"RCB, RR",No,Yes
PV Tambe,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"GL, RR",No,Yes
NM Coulter-Nile,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"DC, KKR, MI, RR",No,No
CJ Anderson,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, RCB",No,Yes
NJ Maddinson,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RCB,No,Yes
AR Patel,India,No,Bowler,Left-hand,Left-arm Spin,No,No,Yes,No,No,Yes,No,Yes,No,No,No,"DC, PBKS",No,No
JJ Bumrah,India,No,Bowler,Right-hand,Fast,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,MI,No,No
JDS Neesham,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, PBKS, RR",No,No
TG Southee,New Zealand,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,Yes,No,Yes,No,No,"CSK, KKR, MI, RCB, RR",No,No
MA Starc,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,Yes,No,Yes,No,No,"DC, KKR, RCB",No,No
BR Dunk,Australia,Yes,Wicketkeeper,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
RR Rossouw,South Africa,Yes,Batter,Right-hand,None,No,No,Yes,Yes,No,No,No,No,No,No,No,"DC, PBKS, RCB",No,No
Shivam Sharma,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
YS Chahal,India,No,Bowler,Right-hand,Leg Spin,No,No,Yes,No,No,No,No,Yes,No,No,Yes,"MI, PBKS, RCB, RR",No,No
LMP Simmons,West Indies,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,Yes,No,No,MI,No,Yes
VH Zol,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RCB,No,Yes
BCJ Cutting,Australia,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"MI, RR, SRH",No,Yes
Imran Tahir,South Africa,Yes,Bowler,Right-hand,Leg Spin,No,No,No,No,No,No,No,Yes,No,No,No,"CSK, DC, RPS",No,Yes
BE Hendricks,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
S Gopal,India,No,Bowler,Right-hand,Medium Pace,No,No,Yes,No,No,No,No,No,Yes,No,No,"MI, RR, SRH",No,No
M de Lange,South Africa,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, MI",No,Yes
R Tewatia,India,No,Bowler,Right-hand,Leg Spin,No,No,Yes,No,No,Yes,No,Yes,No,No,No,"DC, GT, PBKS, RR",No,No
JO Holder,West Indies,Yes,Bowler,Left-hand,Medium Pace,No,Yes,No,No,No,No,No,No,Yes,No,No,"CSK, KKR, LSG, RR, SRH",No,No
Karanveer Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,PBKS,No,Yes
SS Iyer,India,No,Batter,Right-hand,None,No,Yes,Yes,No,No,No,No,No,Yes,No,No,"DC, KKR, PBKS",No,No
DJ Hooda,India,No,Wicketkeeper,Right-hand,Off Spin,Yes,No,Yes,No,No,No,No,Yes,No,No,No,"CSK, LSG, PBKS, RR, SRH",No,No
Anureet Singh,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, PBKS, RR",No,Yes
KS Williamson,New Zealand,Yes,Batter,Right-hand,None,No,Yes,Yes,No,No,No,No,No,Yes,No,No,"GT, SRH",No,No
SA Abbott,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"RCB, SRH",No,No
J Suchith,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, SRH",No,No
HH Pandya,India,No,Bowler,Left-hand,Medium Pace,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,"GT, MI",No,No
D Wiese,Namibia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, RCB",No,No
SN Khan,India,No,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,Yes,No,No,"DC, PBKS, RCB",No,No
MJ McClenaghan,New Zealand,Yes,Bowler,Right-hand,Fast,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
